month,year,quant,year_group
Янв,2006,209058,2006 — 2019
Фев,2006,181608,2006 — 2019
Мар,2006,195086,2006 — 2019
Апр,2006,172981,2006 — 2019
Май,2006,193808,2006 — 2019
Июн,2006,178184,2006 — 2019
Июл,2006,167403,2006 — 2019
Авг,2006,176827,2006 — 2019
Сен,2006,164593,2006 — 2019
Окт,2006,182237,2006 — 2019
Ноя,2006,173918,2006 — 2019
Дек,2006,170039,2006 — 2019
Янв,2007,190699,2006 — 2019
Фев,2007,162946,2006 — 2019
Мар,2007,184620,2006 — 2019
Апр,2007,167941,2006 — 2019
Май,2007,188375,2006 — 2019
Июн,2007,165585,2006 — 2019
Июл,2007,169697,2006 — 2019
Авг,2007,172482,2006 — 2019
Сен,2007,154649,2006 — 2019
Окт,2007,182071,2006 — 2019
Ноя,2007,171487,2006 — 2019
Дек,2007,169516,2006 — 2019
Янв,2008,200476,2006 — 2019
Фев,2008,167748,2006 — 2019
Мар,2008,178059,2006 — 2019
Апр,2008,178907,2006 — 2019
Май,2008,177615,2006 — 2019
Июн,2008,166309,2006 — 2019
Июл,2008,176632,2006 — 2019
Авг,2008,158095,2006 — 2019
Сен,2008,169417,2006 — 2019
Окт,2008,175999,2006 — 2019
Ноя,2008,154977,2006 — 2019
Дек,2008,176728,2006 — 2019
Янв,2009,185479,2006 — 2019
Фев,2009,157744,2006 — 2019
Мар,2009,183148,2006 — 2019
Апр,2009,169845,2006 — 2019
Май,2009,163681,2006 — 2019
Июн,2009,169169,2006 — 2019
Июл,2009,167546,2006 — 2019
Авг,2009,150689,2006 — 2019
Сен,2009,159980,2006 — 2019
Окт,2009,166219,2006 — 2019
Ноя,2009,161064,2006 — 2019
Дек,2009,179026,2006 — 2019
Янв,2010,176316,2006 — 2019
Фев,2010,160701,2006 — 2019
Мар,2010,178621,2006 — 2019
Апр,2010,163701,2006 — 2019
Май,2010,162610,2006 — 2019
Июн,2010,169039,2006 — 2019
Июл,2010,182020,2006 — 2019
Авг,2010,191951,2006 — 2019
Сен,2010,159549,2006 — 2019
Окт,2010,159120,2006 — 2019
Ноя,2010,159247,2006 — 2019
Дек,2010,168088,2006 — 2019
Янв,2011,170508,2006 — 2019
Фев,2011,155042,2006 — 2019
Мар,2011,177662,2006 — 2019
Апр,2011,155453,2006 — 2019
Май,2011,165297,2006 — 2019
Июн,2011,157437,2006 — 2019
Июл,2011,155997,2006 — 2019
Авг,2011,162424,2006 — 2019
Сен,2011,153898,2006 — 2019
Окт,2011,156447,2006 — 2019
Ноя,2011,158330,2006 — 2019
Дек,2011,156541,2006 — 2019
Янв,2012,165630,2006 — 2019
Фев,2012,158551,2006 — 2019
Мар,2012,162426,2006 — 2019
Апр,2012,154066,2006 — 2019
Май,2012,168653,2006 — 2019
Июн,2012,153340,2006 — 2019
Июл,2012,157662,2006 — 2019
Авг,2012,153946,2006 — 2019
Сен,2012,144390,2006 — 2019
Окт,2012,167471,2006 — 2019
Ноя,2012,153462,2006 — 2019
Дек,2012,159239,2006 — 2019
Янв,2013,180734,2006 — 2019
Фев,2013,148581,2006 — 2019
Мар,2013,161219,2006 — 2019
Апр,2013,161961,2006 — 2019
Май,2013,160723,2006 — 2019
Июн,2013,142808,2006 — 2019
Июл,2013,158721,2006 — 2019
Авг,2013,146897,2006 — 2019
Сен,2013,144490,2006 — 2019
Окт,2013,168671,2006 — 2019
Ноя,2013,145823,2006 — 2019
Дек,2013,157641,2006 — 2019
Янв,2014,168057,2006 — 2019
Фев,2014,149882,2006 — 2019
Мар,2014,156576,2006 — 2019
Апр,2014,161341,2006 — 2019
Май,2014,161710,2006 — 2019
Июн,2014,146297,2006 — 2019
Июл,2014,160638,2006 — 2019
Авг,2014,146275,2006 — 2019
Сен,2014,155294,2006 — 2019
Окт,2014,163431,2006 — 2019
Ноя,2014,143141,2006 — 2019
Дек,2014,166663,2006 — 2019
Янв,2015,174723,2006 — 2019
Фев,2015,156737,2006 — 2019
Мар,2015,175810,2006 — 2019
Апр,2015,164705,2006 — 2019
Май,2015,154855,2006 — 2019
